
(base) PS C:\Users\iab5dy\Probe-Station-Control\Hotplate_Control_Robot\python_interface> python.exe .\Hotplate_Robot_Temp_Calibration.py
Building Temperature Calibration...
Opening port to robot...
Building dataframe...
Setting logfile location...
Logging to: 2021.05.19_Hotplate_Temp_Calibration_Log.csv
Starting Hotplate Robot Temp Calibration.
Current Position:       165
Logging to file:        2021.05.19_Hotplate_Temp_Calibration_Log.csv

{'timestamp': datetime.datetime(2021, 5, 19, 16, 55, 9, 84629), 'last_move': None, 'position': 165, 'temp': 24.48}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 55, 19, 295074), 'last_move': None, 'position': 165, 'temp': 24.44}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 55, 29, 512907), 'last_move': None, 'position': 165, 'temp': 24.48}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 55, 39, 734324), 'last_move': None, 'position': 165, 'temp': 24.38}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 55, 49, 939117), 'last_move': None, 'position': 165, 'temp': 24.41}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 56, 0, 155940), 'last_move': None, 'position': 165, 'temp': 24.44}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 56, 10, 371514), 'last_move': None, 'position': 165, 'temp': 24.48}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 56, 20, 586493), 'last_move': None, 'position': 165, 'temp': 24.53}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 56, 30, 797779), 'last_move': None, 'position': 165, 'temp': 24.45}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 56, 41, 3719), 'last_move': None, 'position': 165, 'temp': 24.27}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 56, 51, 222950), 'last_move': None, 'position': 165, 'temp': 24.4}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 57, 1, 433004), 'last_move': None, 'position': 165, 'temp': 24.47}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 57, 11, 643915), 'last_move': None, 'position': 165, 'temp': 24.49}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 57, 21, 864205), 'last_move': None, 'position': 165, 'temp': 24.46}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 57, 32, 73315), 'last_move': None, 'position': 165, 'temp': 24.47}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 57, 42, 288413), 'last_move': None, 'position': 165, 'temp': 24.52}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 57, 52, 494429), 'last_move': None, 'position': 165, 'temp': 24.47}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 58, 2, 619300), 'last_move': None, 'position': 165, 'temp': 24.4}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 58, 12, 835668), 'last_move': None, 'position': 165, 'temp': 24.41}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 58, 23, 44497), 'last_move': None, 'position': 165, 'temp': 24.48}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 58, 33, 252823), 'last_move': None, 'position': 165, 'temp': 24.42}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 58, 43, 465553), 'last_move': None, 'position': 165, 'temp': 24.46}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 58, 53, 681843), 'last_move': None, 'position': 165, 'temp': 24.38}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 59, 3, 904696), 'last_move': None, 'position': 165, 'temp': 24.45}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 59, 14, 116035), 'last_move': None, 'position': 165, 'temp': 24.41}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 59, 24, 321117), 'last_move': None, 'position': 165, 'temp': 24.45}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 59, 34, 532431), 'last_move': None, 'position': 165, 'temp': 24.45}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 59, 44, 747566), 'last_move': None, 'position': 165, 'temp': 24.4}
{'timestamp': datetime.datetime(2021, 5, 19, 16, 59, 54, 963110), 'last_move': None, 'position': 165, 'temp': 24.41}
{'timestamp': datetime.datetime(2021, 5, 19, 17, 0, 5, 173635), 'last_move': None, 'position': 165, 'temp': 24.34}
{'timestamp': datetime.datetime(2021, 5, 19, 17, 0, 15, 390489), 'last_move': None, 'position': 165, 'temp': 24.38}
{'timestamp': datetime.datetime(2021, 5, 19, 17, 0, 25, 596606), 'last_move': None, 'position': 165, 'temp': 24.44}
{'timestamp': datetime.datetime(2021, 5, 19, 17, 0, 35, 821759), 'last_move': None, 'position': 165, 'temp': 24.53}
{'timestamp': datetime.datetime(2021, 5, 19, 17, 0, 46, 33837), 'last_move': None, 'position': 165, 'temp': 24.38}
